n, m, tiempoTotal
200, 0, 20531
200, 5, 18604
200, 10, 6667
200, 15, 6034
200, 20, 5127
200, 25, 5140
200, 30, 5102
200, 35, 5148
200, 40, 5092
200, 45, 5037
200, 50, 4965
200, 55, 5621
200, 60, 5153
200, 65, 5113
200, 70, 5293
200, 75, 6119
200, 80, 5391
200, 85, 5835
200, 90, 3979
200, 95, 3790
200, 100, 4132
200, 105, 4592
200, 110, 4543
200, 115, 4008
200, 120, 4045
200, 125, 4387
200, 130, 4654
200, 135, 3693
200, 140, 3931
200, 145, 3958
200, 150, 4174
200, 155, 4111
200, 160, 3719
200, 165, 4008
200, 170, 4125
200, 175, 4197
200, 180, 4157
200, 185, 3662
200, 190, 3725
200, 195, 3943
200, 200, 4456
200, 205, 4040
200, 210, 4546
200, 215, 4695
200, 220, 4581
200, 225, 5006
200, 230, 5323
200, 235, 4471
200, 240, 4580
200, 245, 4481
200, 250, 4579
200, 255, 4634
200, 260, 4978
200, 265, 4835
200, 270, 5720
200, 275, 6210
200, 280, 5364
200, 285, 5668
200, 290, 6324
200, 295, 5776
200, 300, 5542
200, 305, 5690
200, 310, 5611
200, 315, 6104
200, 320, 6723
200, 325, 6971
200, 330, 6680
200, 335, 6855
200, 340, 6358
200, 345, 6620
200, 350, 7151
200, 355, 7804
200, 360, 7131
200, 365, 8603
200, 370, 6229
200, 375, 7899
200, 380, 8173
200, 385, 10327
200, 390, 7717
200, 395, 8372
200, 400, 8783
200, 405, 8430
200, 410, 8620
200, 415, 8669
200, 420, 9960
200, 425, 8927
200, 430, 8583
200, 435, 9484
200, 440, 11178
200, 445, 12014
200, 450, 11134
200, 455, 9505
200, 460, 9699
200, 465, 11221
200, 470, 9681
200, 475, 10046
200, 480, 9536
200, 485, 12964
200, 490, 10484
200, 495, 10054
200, 500, 10667
200, 505, 9191
200, 510, 12477
200, 515, 10333
200, 520, 9593
200, 525, 11154
200, 530, 10361
200, 535, 11330
200, 540, 10967
200, 545, 11420
200, 550, 9744
200, 555, 14546
200, 560, 13683
200, 565, 11274
200, 570, 12795
200, 575, 12081
200, 580, 10494
200, 585, 13861
200, 590, 10727
200, 595, 12845
200, 600, 11369
200, 605, 12532
200, 610, 13933
200, 615, 16626
200, 620, 11504
200, 625, 11749
200, 630, 13863
200, 635, 11332
200, 640, 12734
200, 645, 10873
200, 650, 12559
200, 655, 12893
200, 660, 13522
200, 665, 13772
200, 670, 13304
200, 675, 13191
200, 680, 11255
200, 685, 12005
200, 690, 12491
200, 695, 13753
200, 700, 13654
200, 705, 12537
